,Model,java_0_to_1,java_0_to_1,java_0_to_2,java_0_to_2,java_0_to_3,java_0_to_3,java_1_to_0,java_1_to_0,java_1_to_2,java_1_to_2,java_1_to_3,java_1_to_3,java_2_to_0,java_2_to_0,java_2_to_1,java_2_to_1,java_2_to_3,java_2_to_3,java_3_to_0,java_3_to_0,java_3_to_1,java_3_to_1,java_3_to_2,java_3_to_2,avg_from_0,avg_from_0,avg_from_1,avg_from_1,avg_from_2,avg_from_2,avg_from_3,avg_from_3,avg_overall,avg_overall
,,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++
0,Model2,0.72,15.86,0.21,14.72,0.2,14.62,0.63,13.92,0.27,14.8,0.78,18.93,0.39,14.98,0.23,14.05,0.81,17.27,0.3,14.11,0.61,17.12,0.56,15.83,0.37,15.07,0.56,15.88,0.48,15.43,0.49,15.69,0.48,15.52
