,Model,indo_to_java_0,indo_to_java_0,indo_to_java_1,indo_to_java_1,indo_to_java_2,indo_to_java_2,indo_to_java_3,indo_to_java_3,java_0_to_indo,java_0_to_indo,java_1_to_indo,java_1_to_indo,java_2_to_indo,java_2_to_indo,java_3_to_indo,java_3_to_indo
,,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++
0,OpenAI,27.81,54.14,14.52,36.99,14.31,42.59,15.56,46.16,38.28,61.23,30.58,53.25,33.31,56.61,27.47,51.49
