,Model,indo_to_java_0,indo_to_java_0,indo_to_java_1,indo_to_java_1,indo_to_java_2,indo_to_java_2,indo_to_java_3,indo_to_java_3,java_0_to_indo,java_0_to_indo,java_1_to_indo,java_1_to_indo,java_2_to_indo,java_2_to_indo,java_3_to_indo,java_3_to_indo
,,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++
0,Gemini,16.76,47.49,6.99,32.33,14.86,45.55,7.05,31.66,32.74,58.44,23.82,51.65,29.34,55.83,23.81,51.22
