,Model,indo_to_java_0,indo_to_java_0,indo_to_java_1,indo_to_java_1,indo_to_java_2,indo_to_java_2,indo_to_java_3,indo_to_java_3,java_0_to_indo,java_0_to_indo,java_1_to_indo,java_1_to_indo,java_2_to_indo,java_2_to_indo,java_3_to_indo,java_3_to_indo
,,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++
0,Model4,4.1,26.5,1.2,20.36,0.89,17.99,0.98,19.85,7.27,32.06,6.36,29.76,6.71,30.52,5.8,29.68
