,Model,indo_to_java_0,indo_to_java_0,indo_to_java_1,indo_to_java_1,indo_to_java_2,indo_to_java_2,indo_to_java_3,indo_to_java_3,java_0_to_indo,java_0_to_indo,java_1_to_indo,java_1_to_indo,java_2_to_indo,java_2_to_indo,java_3_to_indo,java_3_to_indo
,,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++,BLEU,chrF++
0,Model5,0.15,11.92,0.21,12.13,0.15,11.97,0.13,12.06,0.23,11.62,0.3,10.9,0.09,11.1,0.16,11.02
