model,hint_status,speaker,label,precision,recall,f1-score,support,accuracy
model6,noHint,A Utterance,2,0.16666666666666666,0.125,0.14285714285714288,8.0,0.0375
model6,noHint,A Utterance,3,0.0,0.0,0.0,74.0,0.0
model6,noHint,B Utterance,0,0.5974025974025974,0.9484536082474226,0.7330677290836654,97.0,0.9625
model6,noHint,B Utterance,1,0.0,0.0,0.0,11.0,0.0
model6,noHint,B Utterance,2,0.2,0.06666666666666667,0.1,15.0,0.03125
model6,noHint,B Utterance,3,0.0,0.0,0.0,37.0,0.00625
model6,withHint,A Utterance,0,0.44755244755244755,0.927536231884058,0.6037735849056604,69.0,0.89375
model6,withHint,A Utterance,1,0.14285714285714285,0.1111111111111111,0.125,9.0,0.04375
model6,withHint,A Utterance,2,0.0,0.0,0.0,8.0,0.05625
model6,withHint,A Utterance,3,1.0,0.013513513513513514,0.026666666666666665,74.0,0.00625
model6,withHint,B Utterance,0,0.62,0.9587628865979382,0.7530364372469636,97.0,0.9375
model6,withHint,B Utterance,1,0.0,0.0,0.0,11.0,0.025
model6,withHint,B Utterance,2,0.0,0.0,0.0,15.0,0.0375
model6,withHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
modelOpenAI,noHint,A Utterance,0,0.45774647887323944,0.9420289855072463,0.6161137440758293,69.0,0.8875
modelOpenAI,noHint,A Utterance,1,0.0,0.0,0.0,9.0,0.0
modelOpenAI,noHint,A Utterance,2,0.0,0.0,0.0,8.0,0.0875
modelOpenAI,noHint,A Utterance,3,1.0,0.05405405405405406,0.10256410256410257,74.0,0.025
modelOpenAI,noHint,B Utterance,0,0.6193548387096774,0.9896907216494846,0.761904761904762,97.0,0.96875
modelOpenAI,noHint,B Utterance,1,0.0,0.0,0.0,11.0,0.0
modelOpenAI,noHint,B Utterance,2,0.0,0.0,0.0,15.0,0.025
modelOpenAI,noHint,B Utterance,3,0.0,0.0,0.0,37.0,0.00625
modelOpenAI,withHint,A Utterance,0,0.44,0.9565217391304348,0.6027397260273973,69.0,0.9375
modelOpenAI,withHint,A Utterance,1,0.0,0.0,0.0,9.0,0.00625
modelOpenAI,withHint,A Utterance,2,0.0,0.0,0.0,8.0,0.03125
modelOpenAI,withHint,A Utterance,3,0.5,0.02702702702702703,0.05128205128205129,74.0,0.025
modelOpenAI,withHint,B Utterance,0,0.6274509803921569,0.9896907216494846,0.768,97.0,0.95625
modelOpenAI,withHint,B Utterance,1,0.0,0.0,0.0,11.0,0.0125
modelOpenAI,withHint,B Utterance,2,0.0,0.0,0.0,15.0,0.03125
modelOpenAI,withHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
modelGemini,noHint,A Utterance,0,0.528,0.9565217391304348,0.6804123711340206,69.0,0.78125
modelGemini,noHint,A Utterance,1,0.0,0.0,0.0,9.0,0.0125
modelGemini,noHint,A Utterance,2,0.04,0.125,0.06060606060606061,8.0,0.15625
modelGemini,noHint,A Utterance,3,0.875,0.0945945945945946,0.17073170731707316,74.0,0.05
modelGemini,noHint,B Utterance,0,0.6193548387096774,0.9896907216494846,0.761904761904762,97.0,0.96875
modelGemini,noHint,B Utterance,1,0.0,0.0,0.0,11.0,0.0
modelGemini,noHint,B Utterance,2,0.0,0.0,0.0,15.0,0.03125
modelGemini,noHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
modelGemini,withHint,A Utterance,0,0.4647887323943662,0.9565217391304348,0.6255924170616113,69.0,0.8875
modelGemini,withHint,A Utterance,1,0.0,0.0,0.0,9.0,0.0
modelGemini,withHint,A Utterance,2,0.0,0.0,0.0,8.0,0.1
modelGemini,withHint,A Utterance,3,1.0,0.02702702702702703,0.052631578947368425,74.0,0.0125
modelGemini,withHint,B Utterance,0,0.6193548387096774,0.9896907216494846,0.761904761904762,97.0,0.96875
modelGemini,withHint,B Utterance,1,0.0,0.0,0.0,11.0,0.0
modelGemini,withHint,B Utterance,2,0.2,0.06666666666666667,0.1,15.0,0.03125
modelGemini,withHint,B Utterance,3,0.0,0.0,0.0,37.0,0.0
